D	OL6480749A	OL3004382A
D. A. Robertson	OL4689842A	OL2384829A
D. A. Ross	OL4846487A	OL3604372A
D. A. Saunders	OL6715574A	OL1820587A
D. A. Savage	OL6574634A	OL4371737A
D. A. Saville	OL5598520A	OL2765906A
D. A. Schellinck	OL6166226A	OL3369767A
D. A. Schmit	OL4397732A	OL4397602A
D. A. Scott	OL5347175A	OL4420016A
D. A. Simpson	OL5331115A	OL1122544A
D. A. Spencer	OL4343646A	OL1917980A
D. A. Spencer	OL6572463A	OL4343646A
D. A. Sprott	OL6378163A	OL4775273A
D. A. Story	OL6155582A	OL5583837A
D. A. Sutton	OL6496143A	OL2925240A
D. A. Taylor	OL5908406A	OL1974973A
D. A. Taylor	OL5930285A	OL5908406A
D. A. Volkogonov	OL4437575A	OL4437554A
D. A. Volkogonov	OL4437621A	OL4437575A
D. A. Volkogonov	OL6385547A	OL4437621A
D. A. Waterman	OL4953940A	OL1295930A
D. A. Williams	OL7578200A	OL741884A
D. A. Winstanley	OL4642618A	OL113566A
D. A. Wray	OL4458878A	OL4458875A
D. A. Wright	OL4937059A	OL2137113A
D. Abbey	OL5324027A	OL5324026A
D. Acemoglu	OL4464438A	OL4464437A
D. Acemoglu	OL4464697A	OL4464438A
D. Acemoglu	OL4464698A	OL4464697A
D. Alam	OL4411609A	OL4411594A
D. Alam	OL4411612A	OL4411609A
D. Alam	OL4411617A	OL4411612A
D. Alan Dobbins	OL5405438A	OL4284749A
D. Allan Bromley	OL578295A	OL4332048A
D. Allen	OL2789480A	OL1824578A
D. Allen Carroll	OL5939767A	OL1188693A
D. Allen and Sons Limited.	OL6306667A	OL6306661A
D. Amaury Talbot	OL6006387A	OL2133029A
D. Ambrose Davis	OL6810461A	OL6793297A
D. Anderson	OL4420122A	OL2906588A
D. Ann Herring	OL5503347A	OL2800080A
D. Antoinette Handy	OL5962769A	OL222772A
D. Appleton	OL6060641A	OL4240744A
D. Armstrong	OL5911388A	OL2781572A
D. Aston	OL6036952A	OL3465930A
D. Aubree	OL4868304A	OL4868303A
D. Augustus Dickert	OL6053915A	OL1813379A
D. B Spalding	OL6254312A	OL2641767A
D. B Stoeser	OL4307235A	OL4307230A
D. B.	OL518408A	OL4757428A
D. B. Batchelor	OL4731529A	OL4731326A
D. B. Batchelor	OL4731586A	OL4731529A
D. B. Bates	OL6055335A	OL2612603A
D. B. Blair	OL5642609A	OL4697328A
D. B. Bosman	OL5473425A	OL1275643A
D. B. C. Reed	OL4446526A	OL4446499A
D. B. Cashman	OL6728096A	OL1468928A
D. B. Davies	OL5022839A	OL2915907A
D. B. Dewar	OL5148606A	OL5148519A
D. B. Dewar	OL5148654A	OL5148606A
D. B. Emmert	OL4876958A	OL4876950A
D. B. Fissel	OL5472207A	OL4801107A
D. B. Gregor	OL5686280A	OL1159144A
D. B. Harden	OL4848178A	OL2781176A
D. B. Heppner	OL4839223A	OL4839120A
D. B. Hibbert	OL4764510A	OL1025350A
D. B. Horn	OL5843338A	OL1801101A
D. B. Johnson	OL6214637A	OL27699A
D. B. Jones	OL5402730A	OL340020A
D. B. King	OL4863705A	OL2574110A
D. B. Levin	OL5215813A	OL5215808A
D. B. Levin	OL5215864A	OL5215813A
D. B. Lichtenberg	OL7575157A	OL1810078A
D. B. Longmore	OL4776173A	OL4776172A
D. B. McDougall	OL810192A	OL5425719A
D. B. McLachlan	OL6030492A	OL2582152A
D. B. McNeill	OL4437048A	OL1636960A
D. B. Melrose	OL763566A	OL6287764A
D. B. Monro	OL6135669A	OL2494584A
D. B. Naumov	OL7139071A	OL7139070A
D. B. Nichols	OL7239105A	OL1162958A
D. B. Owen	OL954127A	OL5829809A
D. B. Papineau	OL7222838A	OL7187750A
D. B. Quayle	OL738832A	OL4678081A
D. B. Read	OL5526798A	OL2356849A
D. B. Reid	OL5840052A	OL1172549A
D. B. Ri͡azanov	OL607000A	OL4782566A
D. B. Roger	OL4820094A	OL4820093A
D. B. Runcorn	OL4760695A	OL4760652A
D. B. Sirdeshmukh	OL7069953A	OL3179224A
D. B. Smith	OL5850213A	OL2434948A
D. B. Snyder	OL6447608A	OL4745199A
D. B. Summers	OL4796330A	OL4795326A
D. B. Tanner	OL7044822A	OL2886295A
D. B. Tubbs	OL5314810A	OL1033273A
D. B. Ukleba	OL5376251A	OL1248806A
D. B. Waters	OL4458278A	OL4458276A
D. B. Waters	OL4458304A	OL4458278A
D. B. Williams	OL4703853A	OL2042029A
D. B. Willson	OL6287005A	OL5706986A
D. B. Wilson	OL6434324A	OL3538290A
D. B. Wilton	OL6526261A	OL5168215A
D. B. Wyndham Lewis	OL6920696A	OL121474A
D. Baacke	OL4839892A	OL4839891A
D. Babu Paul	OL707335A	OL6918395A
D. Badamdorzh	OL6981719A	OL309297A
D. Badarch	OL7059862A	OL3335423A
D. Bandyopadhyay	OL5047017A	OL1525511A
D. Barford	OL4432035A	OL4432034A
D. Barford	OL4432036A	OL4432035A
D. Barford	OL4432037A	OL4432036A
D. Barrière	OL5215089A	OL5215042A
D. Barton Ross	OL6085681A	OL2509171A
D. Battogtokh	OL6865187A	OL1485956A
D. Battogtokh	OL6958620A	OL6865187A
D. Beaton	OL5678796A	OL2432130A
D. Bedard	OL6110833A	OL5278386A
D. Behrens	OL7361927A	OL4036644A
D. Bellamy	OL4285955A	OL2728901A
D. Ben Rees	OL5051843A	OL24744A
D. Bensoussan	OL5851368A	OL1537227A
D. Bierens de Haan	OL5823038A	OL2344544A
D. Bi︠a︡mbasu̇rėn	OL4300528A	OL4300527A
D. Bois	OL6828026A	OL5047629A
D. Bomhoff	OL4483458A	OL4483457A
D. Bonnefon	OL5917419A	OL2444640A
D. Bouix	OL818848A	OL6248605A
D. Brazier	OL5411762A	OL5411759A
D. Bruce Sealey	OL6162199A	OL1560230A
D. Bruce Seymour	OL5320925A	OL2881337A
D. Bruce Turner	OL721893A	OL6177543A
D. Bryant	OL6314493A	OL3425010A
D. Burtenshaw	OL6279725A	OL3479735A
D. Bushnell	OL7558068A	OL1238140A
D. Byron Evans	OL6574349A	OL3533621A
D. Byron Patterson	OL7335547A	OL7316082A
D. Byron Patterson	OL7341755A	OL7335547A
D. C Kirkpatrick	OL4752198A	OL4752176A
D. C Kirkpatrick	OL4752199A	OL4752198A
D. C Langstaff	OL4730424A	OL4730418A
D. C.	OL7415939A	OL4270803A
D. C. A. Shotter	OL6443483A	OL218561A
D. C. Bhardwaj	OL4459884A	OL4459842A
D. C. Blood	OL5442758A	OL1162987A
D. C. Browning	OL6199854A	OL2729083A
D. C. Cann	OL4419375A	OL4419373A
D. C. Cloud	OL6735744A	OL2524332A
D. C. Coleman	OL830339A	OL7325272A
D. C. Cooper	OL5800483A	OL4345245A
D. C. Cooper	OL7172798A	OL5800483A
D. C. Cuthbertson	OL4437393A	OL1785336A
D. C. D. Pocock	OL5312213A	OL4349921A
D. C. Dalton	OL6302863A	OL5514930A
D. C. Davies	OL5858365A	OL2494539A
D. C. Dunlop	OL6353641A	OL5592808A
D. C. Feeney	OL7349243A	OL384380A
D. C. Fontana	OL7304267A	OL1475622A
D. C. Fontana	OL7324999A	OL7304267A
D. C. Gibbs	OL4404773A	OL4383521A
D. C. Gideon	OL7546618A	OL2499284A
D. C. Green	OL6596306A	OL4619125A
D. C. Green	OL6596307A	OL6596306A
D. C. Green	OL755922A	OL6596307A
D. C. Grover	OL5978981A	OL1955595A
D. C. Gunby	OL5660428A	OL1556156A
D. C. Hague	OL6298241A	OL4346624A
D. C. Harvey	OL6743368A	OL138829A
D. C. Hossack	OL5308012A	OL2045069A
D. C. Jackson	OL963344A	OL7309902A
D. C. Jarvis	OL7200134A	OL1451095A
D. C. Jones	OL4373306A	OL2154865A
D. C. Langstaff	OL4827854A	OL4826718A
D. C. Lau	OL7304870A	OL2782321A
D. C. Leigh	OL6214484A	OL2123054A
D. C. M.	OL7393479A	OL734671A
D. C. M. Platt	OL5980428A	OL472221A
D. C. Martin	OL5525756A	OL2127228A
D. C. McGregor	OL6514240A	OL168425A
D. C. Measham	OL4811636A	OL1932492A
D. C. Murphy	OL5954263A	OL2526136A
D. C. Nicholls	OL5665849A	OL4433351A
D. C. Ormerod	OL5136535A	OL2691686A
D. C. Pack	OL5948667A	OL5068343A
D. C. Parker	OL7305613A	OL3337925A
D. C. Paton	OL7052672A	OL7052671A
D. C. Perkins	OL4754202A	OL4754192A
D. C. Phillips	OL7328375A	OL2904462A
D. C. Phillott	OL6368A	OL5470709A
D. C. Poole	OL6369717A	OL1075967A
D. C. Pritchard	OL6438033A	OL3313498A
D. C. R. Prater	OL4762845A	OL4762840A
D. C. Rentz	OL6872405A	OL3528750A
D. C. Robinson	OL4719594A	OL3560065A
D. C. Roush	OL5325701A	OL5325700A
D. C. Roush	OL5325702A	OL5325701A
D. C. Roush	OL5325703A	OL5325702A
D. C. Roush	OL5325704A	OL5325703A
D. C. Roush	OL5325705A	OL5325704A
D. C. Roush	OL5325706A	OL5325705A
D. C. Rowan	OL4404731A	OL1765947A
D. C. Sale	OL7243402A	OL7243401A
D. C. Simpson	OL4492792A	OL3151849A
D. C. Smith	OL7399155A	OL2765933A
D. C. Somervell	OL7426390A	OL4707673A
D. C. Stafford	OL6149647A	OL1004363A
D. C. T. Bennett	OL4695084A	OL4621181A
D. C. W. Marshall	OL6596563A	OL4850732A
D. C. Wismer	OL7467366A	OL2034341A
D. Campbell	OL7314235A	OL3201197A
D. Cantone	OL5381309A	OL5381308A
D. Cantone	OL5381313A	OL5381309A
D. Cantone	OL5381314A	OL5381313A
D. Caplan	OL5775664A	OL4457730A
D. Carleton Gajdusek	OL5613193A	OL345305A
D. Carter	OL6795146A	OL3478691A
D. Charles Galunic	OL5231431A	OL5231426A
D. Charles Galunic	OL5231434A	OL5231431A
D. Clarke	OL6273072A	OL2784694A
D. Coca	OL5248199A	OL5248193A
D. Cohen	OL4381355A	OL2215308A
D. Cook	OL6286566A	OL32514A
D. Cooke	OL679830A	OL5499208A
D. Crawford	OL6401002A	OL6376016A
D. Crawford	OL731746A	OL6401002A
D. Cresswell	OL5851856A	OL2503116A
D. Croal	OL3779370A	OL2596724A
D. Curtis Johnson	OL7535183A	OL7535181A
D. Cyril Joynson	OL5354307A	OL2080016A
D. D Raphael	OL6280086A	OL2628152A
D. D.	OL6013440A	OL5178305A
D. D. Blagoi	OL4332869A	OL4332621A
D. D. Blagoĭ	OL6544597A	OL1358816A
D. D. Brown	OL6189555A	OL6175590A
D. D. Calvin	OL7513895A	OL4451110A
D. D. Christie	OL4853426A	OL4788742A
D. D. Cowan	OL6740808A	OL6306965A
D. D. Cunningham	OL7243484A	OL155761A
D. D. Devlin	OL4764545A	OL1111526A
D. D. Eley	OL5734067A	OL2273137A
D. D. Hawkes	OL4803693A	OL4803692A
D. D. Higgins	OL5611335A	OL2362628A
D. D. Hill	OL4936157A	OL4929190A
D. D. Ivanov	OL6514183A	OL1053774A
D. D. Khanna	OL568202A	OL3462039A
D. D. Lessenberry	OL5482479A	OL1870273A
D. D. Mayne	OL6632513A	OL2395243A
D. D. Mayne	OL6637546A	OL6632513A
D. D. Patrașcanu	OL5060244A	OL5060243A
D. D. Penʹkovskiĭ	OL5022909A	OL5022841A
D. D. R. Owen	OL5061249A	OL275851A
D. D. Raphael	OL710307A	OL4462948A
D. D. Sheehan	OL5217740A	OL4275089A
D. D. Stierwalt	OL4690844A	OL4690667A
D. D. Stierwalt	OL4690928A	OL4690844A
D. D. Stierwalt	OL4690968A	OL4690928A
D. D. Stierwalt	OL4690969A	OL4690968A
D. D. Stierwalt	OL4691333A	OL4690969A
D. D. Venable	OL4865610A	OL4865497A
D. D. Whedon	OL7036672A	OL352465A
D. Dagvadorzh	OL6981720A	OL4283277A
D. Daniel Judson	OL6952616A	OL1386498A
D. Darskiĭ	OL5199913A	OL2278323A
D. Davaani︠a︡m	OL7034658A	OL4319113A
D. Davidson	OL5995813A	OL2593562A
D. Dayalan	OL6781499A	OL518655A
D. De Bruyne	OL4457369A	OL4457368A
D. Dennis Hudson	OL6772840A	OL2461760A
D. Derwenydd Morgan	OL4952418A	OL4952412A
D. Desmarais	OL4738787A	OL4738786A
D. Diane Preston	OL4590071A	OL4284956A
D. Dickson	OL6830234A	OL5154847A
D. Djordjevic	OL6597486A	OL3609646A
D. Dorzh	OL4293674A	OL4288579A
D. Dorzh	OL4293675A	OL4293674A
D. Dorzh	OL4293900A	OL4293675A
D. Dorzhgotov	OL6930741A	OL1404616A
D. Dowson	OL6104897A	OL1802365A
D. Dubenskiĭ	OL4669247A	OL4667896A
D. Dupuy	OL5812504A	OL4819440A
D. Durell	OL5454191A	OL2427651A
D. Dwight Davis	OL4377458A	OL2204345A
D. E Detra	OL4305917A	OL4305912A
D. E Munson	OL4732565A	OL4732368A
D. E Zissa	OL4745146A	OL4745144A
D. E. A. Williams-Wynn	OL2933051A	OL2018917A
D. E. Ager	OL5053527A	OL231909A
D. E. Anderson	OL4936143A	OL4936141A
D. E. Ayling	OL6549884A	OL1126389A
D. E. Boleneus	OL4315909A	OL4315908A
D. E. Booster	OL4940036A	OL4939909A
D. E. Booster	OL4940102A	OL4940036A
D. E. Briggs	OL5938461A	OL407614A
D. E. Bullis	OL5340484A	OL4929179A
D. E. Burkham	OL6257373A	OL168835A
D. E. Carlson	OL7577682A	OL4731983A
D. E. Clark	OL4730409A	OL1954419A
D. E. Clark	OL6634606A	OL4730409A
D. E. Coles	OL5947994A	OL2039918A
D. E. Cullen	OL4733249A	OL3226323A
D. E. E. Braman	OL6550551A	OL2397487A
D. E. Gaskin	OL779648A	OL5907199A
D. E. Gould	OL6466539A	OL540643A
D. E. Hamilton	OL5530318A	OL4277509A
D. E. Harding	OL748564A	OL5598292A
D. E. Hathway	OL955335A	OL6217767A
D. E. Hatt	OL5304181A	OL4484893A
D. E. Henderson	OL6135632A	OL5334058A
D. E. Highley	OL6203161A	OL1282187A
D. E. Hughes	OL4458823A	OL2230764A
D. E. Hussey	OL5908266A	OL228052A
D. E. Jenkins	OL4981492A	OL2504936A
D. E. Johnson	OL5768129A	OL1616683A
D. E. Jones	OL6802393A	OL4436876A
D. E. Lindstrom	OL5283777A	OL2549765A
D. E. Moggridge	OL4710999A	OL4710998A
D. E. Moggridge	OL557396A	OL4710999A
D. E. Mungello	OL7052437A	OL2814122A
D. E. Mungello	OL7052438A	OL7052437A
D. E. Newland	OL710295A	OL6295120A
D. E. Oppenheim	OL5442295A	OL4414244A
D. E. Parry Williams	OL5846939A	OL2337503A
D. E. Phillips	OL4932495A	OL3671578A
D. E. Pippenger	OL6597076A	OL4735199A
D. E. Regan	OL4431327A	OL1576967A
D. E. Richards	OL5104227A	OL4929243A
D. E. Rutherford	OL4617937A	OL134074A
D. E. S. Maxwell	OL5243877A	OL1233015A
D. E. Sattler	OL5592173A	OL1470554A
D. E. Simpson	OL5335248A	OL421142A
D. E. Steward	OL6417627A	OL1095137A
D. E. Thomas	OL7555347A	OL224475A
D. E. Watt	OL5288012A	OL410849A
D. E. Weatherby	OL4834696A	OL4834188A
D. Eckersley	OL4394337A	OL4394329A
D. Edwards	OL4355468A	OL2191532A
D. Edwards	OL4355472A	OL4355468A
D. Edwards	OL4355476A	OL4355472A
D. Edwards	OL5127041A	OL4355476A
D. Elden Beck	OL4514825A	OL2654556A
D. Eldredge	OL5714355A	OL2515546A
D. Elmo Hardy	OL7428964A	OL1922768A
D. Enukʻiże	OL4969148A	OL4969146A
D. Eric Walters	OL5416997A	OL2696910A
D. Erskine Muir	OL4455379A	OL1963803A
D. Evans	OL5980655A	OL1818993A
D. F. Alderdice	OL6170268A	OL5597348A
D. F. Allen	OL6336287A	OL1091241A
D. F. Ball	OL4398594A	OL2118671A
D. F. Clark	OL762395A	OL5931494A
D. F. Hewitt	OL4452109A	OL4452108A
D. F. Martin	OL6234351A	OL6200384A
D. F. Mulla	OL4845116A	OL4340238A
D. F. Parrott	OL6396559A	OL426994A
D. F. Payne	OL6303774A	OL1776431A
D. F. Peck	OL5813115A	OL4710876A
D. F. S. Thomson	OL5618587A	OL3591796A
D. F. Shriver	OL6120886A	OL241487A
D. F. Smith	OL7426551A	OL1617720A
D. F. Thatcher	OL4865960A	OL4865536A
D. F. Williams	OL7050377A	OL2707592A
D. F. de L'Hoste Ranking	OL4768182A	OL4768180A
D. F. de l'Hoste Ranking	OL4457401A	OL4457400A
D. F. de l'Hoste Ranking	OL6597699A	OL4457401A
D. Fabian Garcia Nocetti	OL833811A	OL7576762A
D. Favre	OL7393376A	OL3821926A
D. Firnberg	OL6232704A	OL4762679A
D. Firth	OL4345791A	OL4345785A
D. Flament	OL7203349A	OL2682138A
D. Friedman	OL7327607A	OL2133339A
D. G Colombant	OL4723355A	OL4723353A
D. G.	OL6021911A	OL514750A
D. G. Allen	OL5284560A	OL1339930A
D. G. B. Boocock	OL5222818A	OL5222817A
D. G. Bettison	OL6740070A	OL1782233A
D. G. Brandon	OL5249893A	OL238987A
D. G. Brian Jones	OL6984490A	OL6444478A
D. G. Byrne	OL6598220A	OL349578A
D. G. Charlton	OL5363165A	OL1239017A
D. G. Clark	OL5797959A	OL4436439A
D. G. Compton	OL4739547A	OL412566A
D. G. Cracknell	OL961751A	OL4771237A
D. G. Crighton	OL6828358A	OL2679862A
D. G. Davies	OL4755686A	OL4755684A
D. G. Davies	OL4755687A	OL4755686A
D. G. Dickinson	OL4378488A	OL4378486A
D. G. Dickinson	OL4378489A	OL4378488A
D. G. Dologite	OL4750913A	OL4750903A
D. G. Dologite	OL770986A	OL4750913A
D. G. Doran	OL5939250A	OL5326371A
D. G. Gorman	OL6433484A	OL1077442A
D. G. Harper	OL4727113A	OL2780606A
D. G. Harris	OL4523268A	OL1390289A
D. G. Hessayon	OL7567490A	OL4361433A
D. G. Hogarth	OL4360307A	OL1755754A
D. G. James	OL5065853A	OL3237744A
D. G. Jenkins	OL5888959A	OL4750789A
D. G. King-Hele	OL5310901A	OL4344842A
D. G. Lewis	OL6420110A	OL1554455A
D. G. Martin	OL6860690A	OL6444313A
D. G. Matthews	OL4920019A	OL4920015A
D. G. McFetridge	OL732073A	OL6303114A
D. G. Moir	OL6368859A	OL1782316A
D. G. Pettifor	OL7578263A	OL449568A
D. G. Robinson	OL6968437A	OL2679502A
D. G. S. Davies	OL5488235A	OL4748341A
D. G. Scragg	OL6166698A	OL2013325A
D. G. Tucker	OL5252149A	OL2083282A
D. G. W. Edwards	OL4927955A	OL4927918A
D. G. W. Edwards	OL4927957A	OL4927955A
D. G. Williamson	OL6481156A	OL388129A
D. G. Wilson	OL5057511A	OL1772044A
D. G. Woodside	OL4668916A	OL4668622A
D. G. Wright	OL884511A	OL6930502A
D. Galloway	OL6416985A	OL3042689A
D. Ganten	OL5591024A	OL2678874A
D. Gareth Walters	OL4791341A	OL1017110A
D. Garmaa	OL6983495A	OL309484A
D. Garrett	OL5324152A	OL1688006A
D. Gene Daniel	OL7215576A	OL3570252A
D. George Kousoulas	OL5698526A	OL405947A
D. Geraint Lewis	OL6135053A	OL190739A
D. Glass	OL6512691A	OL3398035A
D. Golokhvastov	OL6077873A	OL4432577A
D. Gombosu̇rėn	OL6934019A	OL4910511A
D. Gordon Smith	OL5164380A	OL2803684A
D. Gosselin	OL984401A	OL4632442A
D. Goy	OL7141570A	OL7141569A
D. Graham	OL6057898A	OL3397946A
D. Griffiths	OL6449162A	OL2735673A
D. Grogan	OL4727353A	OL4727335A
D. Gusztáv Kecskés	OL6610123A	OL5718402A
D. Guy	OL5185488A	OL5185420A
D. H Hand	OL4303925A	OL4303924A
D. H. Allen	OL4441430A	OL2567976A
D. H. Anderson	OL6796690A	OL2542012A
D. H. Bacon	OL4771344A	OL220516A
D. H. Barber	OL7025435A	OL5581345A
D. H. Barratt	OL4409951A	OL4409859A
D. H. Barratt	OL4409952A	OL4409951A
D. H. Bergey	OL4332136A	OL4332129A
D. H. Blake	OL907720A	OL6100707A
D. H. Borchardt	OL762408A	OL4737761A
D. H. Brown	OL6447892A	OL3245154A
D. H. Butani	OL820618A	OL4810750A
D. H. Clarke	OL5776259A	OL1656965A
D. H. Cole	OL5054219A	OL2257672A
D. H. Craig	OL6626530A	OL358509A
D. H. Cushing	OL580207A	OL4762433A
D. H. Davies	OL4447099A	OL3290890A
D. H. Dewey	OL7188979A	OL7180166A
D. H. Fairfield	OL4860297A	OL4860295A
D. H. Fairfield	OL4860308A	OL4860297A
D. H. Fremlin	OL979922A	OL5499494A
D. H. Goodsall	OL6012373A	OL5818766A
D. H. Green	OL6286352A	OL2760461A
D. H. Griffiths	OL5104502A	OL4292015A
D. H. Grist	OL6298115A	OL1253181A
D. H. Heinrichs	OL7085213A	OL7082056A
D. H. J. Morgan	OL527815A	OL5239335A
D. H. Jacques	OL4702702A	OL1382754A
D. H. Jennings	OL722471A	OL4347352A
D. H. Land	OL5222902A	OL2018790A
D. H. Lawrence	OL7484231A	OL1188596A
D. H. Lehmer	OL6261761A	OL2355511A
D. H. Lewis	OL4733726A	OL2764467A
D. H. MacGregor	OL5927037A	OL2247772A
D. H. Mills	OL5982207A	OL2741376A
D. H. Olsen	OL801244A	OL7114582A
D. H. Parish	OL714168A	OL5404532A
D. H. Parry	OL6046999A	OL2401716A
D. H. Radler	OL5865310A	OL1923607A
D. H. Roberts	OL4470038A	OL1685297A
D. H. Roberts	OL5229526A	OL4470038A
D. H. S. Cranage	OL5301150A	OL2241283A
D. H. S. Reid	OL4816254A	OL1023376A
